User Question,MCP Tool(s),Orchestration Notes,Source (of User Question),Topic,Details,Notes
Is Walgreens in network for this plan?,"find_nearby_pharmacies, check_pharmacy_network_status","Filter nearby pharmacies by \Walgreens\""",CMS Document,"check against plan.""",,
Show me nearby in-network pharmacies for this plan.,"find_nearby_pharmacies, check_pharmacy_network_status","Locate pharmacies, filter out out-of-network NPIs for the specific plan_id.",CMS Document,,,
Which plan gives me the most preferred-pharmacy choices?,"find_nearby_pharmacies, check_pharmacy_network_status",Tally is_preferred flags across multiple plans for the user's radius.,CMS Document,,,
Use my saved drugs and pharmacies to show me the best Part D options.,"get_saved_health_preferences, calculate_drug_costs",Multi-API: BEDAP retrieves saved NDCs/NPIs -> MCT calculates costs.,CMS Document,,,
Compare my current plan with the top 3 alternatives for next year.,"get_beneficiary_profile, search_medicare_plans, get_plan_details",Multi-API: BEDAP gets current plan_id -> MCT retrieves current plan details + top 3 competitors.,CMS Document,,,
"Is my current plan rolling over, consolidating, or terminating?",get_plan_rollover_status,BEDAP queries cross-walk data for the beneficiary's specific plan.,CMS Document,,,
Will my current plan still cover my prescriptions next year?,"get_beneficiary_profile, get_saved_health_preferences, calculate_drug_costs",Multi-API: BEDAP gets current plan & drugs -> MCT checks next year's formulary.,CMS Document,,,
"Based on my recent doctors, which plans are the best fit?","get_saved_health_preferences, check_provider_network_status",Multi-API: BEDAP retrieves historical provider NPIs -> MCT checks network status. (Note: Provider directory integration requires specialized MCT endpoints),CMS Document,,,
How much could I save if I switch plans?,"get_beneficiary_profile, calculate_drug_costs, search_medicare_plans",Multi-API: Calculate total cost for current plan (BEDAP) vs. cheapest alternative (MCT).,CMS Document,,,
What is my current Part C or Part D coverage?,get_beneficiary_profile,BEDAP returns active enrollments and effective dates.,CMS Document,,,
What is my LIS/Extra Help status?,get_beneficiary_profile,BEDAP returns LIS level (1-4) and copay categories.,CMS Document,,,
What are my Part A and Part B deductibles this year?,get_deductibles_and_entitlements,BEDAP returns year-to-date deductible met amounts.,CMS Document,,,
Do I have other insurance that changes how I should shop?,get_deductibles_and_entitlements,"BEDAP returns Other Health Insurance (OHI) flags (e.g., VA, TRICARE, Employer).",CMS Document,,,
Are there drug assistance programs for my medication?,"search_drugs_and_dosages, find_assistance_programs",MCT resolves the drug name and queries the PAP endpoints.,CMS Document,,,
Does my state have a State Pharmaceutical Assistance Program?,"resolve_location, find_assistance_programs",MCT checks SPAP availability by state.,CMS Document,,,
I can’t afford this drug — what help should I look at first?,"get_beneficiary_profile, find_assistance_programs",Multi-API: BEDAP checks LIS status -> MCT checks manufacturer PAPs.,CMS Document,,,
I have Original Medicare and want to see if I should get a Medigap policy. What's the benefit?,,,Medicare AI Agent Test Cases and Evaluation Set,Medigap Coverage Information,Correct explanation of Medigap benefits vs. Original Medicare.,
"Can you find me plans in 90210 that have no monthly premium and cover my drug, Lipitor?",,,Medicare AI Agent Test Cases and Evaluation Set,Plan Search with Premium & Drug Filter,List of $0 premium plans in ZIP 90210 covering Lipitor.,
What happens to my coverage if I move from New York to Florida?,,,Medicare AI Agent Test Cases and Evaluation Set,Moving and Special Enrollment Periods,Explanation of SEPs and how to find new plans in Florida.,
I'm 64 and turning 65 in three months. What do I need to do to sign up for Medicare?,,,Medicare AI Agent Test Cases and Evaluation Set,Initial Enrollment Period (IEP) Guidance,Step-by-step guide for IEP enrollment.,
"Does this plan cover my doctor, Dr. Smith, at 123 Main St?",,,Medicare AI Agent Test Cases and Evaluation Set,Provider Network Search,Confirmation of whether Dr. Smith is in-network for the specified plan.,
"What is the donut hole, and how does it affect my drug costs?",,,Medicare AI Agent Test Cases and Evaluation Set,Coverage Gap (Donut Hole) Explanation,Accurate description of the coverage gap and its impact on pricing.,
I have VA benefits. Do I still need Medicare Part B?,,,Medicare AI Agent Test Cases and Evaluation Set,VA and Medicare Coordination,Guidance on how Medicare Part B works alongside VA health benefits.,
Compare the Humana Choice PPO and the Aetna Medicare Eagle plans in terms of out-of-pocket maximums.,,,Medicare AI Agent Test Cases and Evaluation Set,Plan Comparison - MOOP,Side-by-side comparison of the MOOP for both plans.,
Is Shingrix covered under Part B or Part D?,,,Medicare AI Agent Test Cases and Evaluation Set,Vaccine Coverage (Part B vs D),Correct identification that Shingrix is covered under Part D.,
My income just decreased. Do I qualify for Extra Help?,,,Medicare AI Agent Test Cases and Evaluation Set,Low Income Subsidy (LIS) Eligibility,Information on LIS eligibility requirements and how to apply.,
"Based on my recent A1C results, does this plan offer specialized coaching or supplies for diabetes?","get_clinical_data, search_medicare_plans",Requires SMART on FHIR integration to read lab results and filter plans with specific Chronic SNP (C-SNP) benefits.,MUSIC Doc,Clinical Data Integration,,
I'm having trouble getting to the pharmacy. Are there plans with free home delivery or transportation assistance?,"get_sdoh_factors, search_medicare_plans",Uses SDOH data to identify barriers (transportation) and matches with supplemental benefits.,MUSIC Doc,SDOH Awareness,,
What is the status of my pending appeal for the denied MRI claim?,"get_claims_status, check_appeals_status",Direct query to the claims/appeals MCP server for real-time beneficiary status.,MUSIC Doc,Claims Transparency,,
I'm traveling to Europe next month. Does my current plan cover emergency care abroad?,"get_beneficiary_profile, get_plan_details","Agent checks current enrollment and queries the \Foreign Travel\"" benefit section of the Evidence of Coverage.""",MUSIC Doc,Travel Coverage Verification,,
Which plans in my area have the highest 'Equity' or 'Patient Experience' ratings?,search_medicare_plans,Filter/sort by specific CAHPS scores or CMS equity ratings.,MUSIC Doc,Quality Metrics,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
, ,,,,,
